,id,,pg_category,,pg_desc,,createdat,,
",(",155,",'",Include,"','",한화투자증권,"',",20220708,),",(155,'Include','한화투자증권',20220708)"
",(",156,",'",Include,"','",아이오로라,"',",20220708,),",(156,'Include','아이오로라',20220708)"
",(",157,",'",Include,"','",비전씨,"',",20220708,),",(157,'Include','비전씨',20220708)"
",(",158,",'",Include,"','",아이퀘스트,"',",20220708,),",(158,'Include','아이퀘스트',20220708)"
",(",159,",'",Include,"','",유핀테크,"',",20220708,),",(159,'Include','유핀테크',20220708)"
",(",160,",'",Include,"','",스마트온라인,"',",20220708,),",(160,'Include','스마트온라인',20220708)"
",(",161,",'",Include,"','",롯데쇼핑,"',",20220708,),",(161,'Include','롯데쇼핑',20220708)"
",(",162,",'",Include,"','",주식회사모인,"',",20220708,),",(162,'Include','주식회사모인',20220708)"
",(",163,",'",Include,"','",지머니트랜스,"',",20220708,),",(163,'Include','지머니트랜스',20220708)"
",(",164,",'",Include,"','",제로페이,"',",20220708,),",(164,'Include','제로페이',20220708)"
",(",165,",'",Include,"','",PG입금,"',",20220708,),",(165,'Include','PG입금',20220708)"
",(",166,",'",Include,"','",결제PG,"',",20220708,),",(166,'Include','결제PG',20220708)"
",(",167,",'",Include,"','",더페이,"',",20220708,),",(167,'Include','더페이',20220708)"
",(",168,",'",Include,"','",와이어바알리,"',",20220708,),",(168,'Include','와이어바알리',20220708)"
",(",169,",'",Include,"','",코엠페이먼츠,"',",20220708,),",(169,'Include','코엠페이먼츠',20220708)"
",(",170,",'",Include,"','",루멘페이먼츠,"',",20220708,),",(170,'Include','루멘페이먼츠',20220708)"
",(",171,",'",Include,"','",이후에프엔비,"',",20220708,),",(171,'Include','이후에프엔비',20220708)"
",(",172,",'",Include,"','",페이스토리,"',",20220708,),",(172,'Include','페이스토리',20220708)"
",(",173,",'",Include,"','",현대캐피탈,"',",20220708,),",(173,'Include','현대캐피탈',20220708)"
",(",174,",'",Include,"','",블루월넛,"',",20220708,),",(174,'Include','블루월넛',20220708)"
",(",175,",'",Include,"','",야놀자,"',",20220708,),",(175,'Include','야놀자',20220708)"
",(",176,",'",Include,"','",당근페이,"',",20220708,),",(176,'Include','당근페이',20220708)"
",(",177,",'",Include,"','",다모아페이,"',",20220708,),",(177,'Include','다모아페이',20220708)"
",(",178,",'",Include,"','",세븐페이,"',",20220708,),",(178,'Include','세븐페이',20220708)"
",(",179,",'",Include,"','",다모페이,"',",20220708,),",(179,'Include','다모페이',20220708)"
",(",180,",'",Include,"','",한국문화진흥,"',",20220708,),",(180,'Include','한국문화진흥',20220708)"
",(",181,",'",Include,"','",패스고,"',",20220708,),",(181,'Include','패스고',20220708)"
",(",182,",'",Include,"','",지엘엔인터내셔널,"',",20220708,),",(182,'Include','지엘엔인터내셔널',20220708)"
",(",183,",'",Include,"','",홀빅,"',",20220708,),",(183,'Include','홀빅',20220708)"
",(",184,",'",Include,"','",골프존,"',",20220708,),",(184,'Include','골프존',20220708)"
",(",185,",'",Include,"','",부국위너스,"',",20220708,),",(185,'Include','부국위너스',20220708)"
